 INFO | 2017-03-10 17:16:54,271 | Common.java | 73 | Startup activites...
 INFO | 2017-03-10 17:16:54,276 | Common.java | 73 | Test Output Directory creation successful :C:\Users\himashreen\workspace\AdactinDemo\TestResults\2017_03_10_05_16_54_PM
 INFO | 2017-03-10 17:16:54,276 | Common.java | 73 | Log File creation successful : LogFile.log
 INFO | 2017-03-10 17:16:54,738 | Common.java | 73 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2017-03-10 17:16:54,965 | Common.java | 73 | Getting value of Browser from Test Configuration file : chrome
 INFO | 2017-03-10 17:16:54,970 | Common.java | 73 | Getting value of ElementLoadWaitTime from Test Configuration file : 6
 INFO | 2017-03-10 17:16:54,970 | Common.java | 73 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2017-03-10 17:16:54,971 | Common.java | 73 | Getting value of PageLoadWaitTime from Test Configuration file : 20
 INFO | 2017-03-10 17:16:54,973 | Common.java | 73 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2017-03-10 17:16:54,973 | Common.java | 73 | Element time out set
 INFO | 2017-03-10 17:16:54,974 | Common.java | 73 | ##### Start of Test Case : Login to Adactin Application #####
 INFO | 2017-03-10 17:16:54,975 | Common.java | 73 | Test Case Name: TC_001
 INFO | 2017-03-10 17:16:54,976 | Common.java | 73 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2017-03-10 17:16:55,046 | Common.java | 73 | Test Data Set Name: TC_001
 INFO | 2017-03-10 17:16:55,046 | Common.java | 73 | Execution Flag: Execute
 INFO | 2017-03-10 17:16:55,047 | Common.java | 73 | Test Data Set Name: TC_001_01
 INFO | 2017-03-10 17:16:55,048 | Common.java | 73 | Execution Flag: YES
 INFO | 2017-03-10 17:16:55,049 | Common.java | 73 | Test Data Set Name: TC_001_02
 INFO | 2017-03-10 17:16:55,049 | Common.java | 73 | Execution Flag: YES
 INFO | 2017-03-10 17:16:55,049 | Common.java | 73 | Test Data Set Name: 
 INFO | 2017-03-10 17:16:55,049 | Common.java | 73 | Execution Flag: 
 INFO | 2017-03-10 17:16:55,058 | Common.java | 73 | Getting value of Browser from Test Configuration file : chrome
 INFO | 2017-03-10 17:17:22,387 | Common.java | 73 | Getting value of url from Test Configuration file : http://www.adactin.com/HotelApp/
 INFO | 2017-03-10 17:17:49,162 | Common.java | 73 | Entered Username ->prakashs
ERROR | 2017-03-10 17:17:49,162 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:17:49,516 | Common.java | 73 | Entered Password ->prakash
ERROR | 2017-03-10 17:17:49,516 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:17:56,694 | Common.java | 73 | Taken screenshot of failing screen
 INFO | 2017-03-10 17:18:09,081 | Common.java | 73 | Clicked on WebElement-Login
ERROR | 2017-03-10 17:18:09,082 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:09,159 | Common.java | 73 | Successfully logged in to the application
ERROR | 2017-03-10 17:18:09,159 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:09,407 | Common.java | 73 | Taken screenshot of failing screen
 INFO | 2017-03-10 17:18:10,501 | Common.java | 73 | Clicked on WebElement-Logout Link
ERROR | 2017-03-10 17:18:10,501 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:11,472 | Common.java | 73 | Clicked on WebElement-Login Again Link
ERROR | 2017-03-10 17:18:11,473 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:11,778 | Common.java | 73 | Entered Username ->prakashs
ERROR | 2017-03-10 17:18:11,778 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:12,003 | Common.java | 73 | Entered Password ->wrong
ERROR | 2017-03-10 17:18:12,003 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:12,236 | Common.java | 73 | Taken screenshot of failing screen
 INFO | 2017-03-10 17:18:13,644 | Common.java | 73 | Clicked on WebElement-Login
ERROR | 2017-03-10 17:18:13,644 | Common.java | 88 | Invalid log Type :PASS. Unable to log the message.
 INFO | 2017-03-10 17:18:19,061 | Common.java | 73 | The application is not in the expected page , current page: AdactIn.com - Hotel Reservation System Page.
ERROR | 2017-03-10 17:18:21,173 | Common.java | 81 | Unable to login to application, Check Username and password
ERROR | 2017-03-10 17:18:21,173 | Common.java | 81 | Report step generation success : Unable to login to application, Check Username and password
 INFO | 2017-03-10 17:18:37,966 | Common.java | 73 | Getting value of ElementLoadWaitTime from Test Configuration file : 6
 INFO | 2017-03-10 17:18:37,966 | Common.java | 73 | Getting value of TextLoadWaitTime from Test Configuration file : 10
 INFO | 2017-03-10 17:18:37,967 | Common.java | 73 | Getting value of PageLoadWaitTime from Test Configuration file : 20
 INFO | 2017-03-10 17:18:37,967 | Common.java | 73 | Getting value of ImplicitlyWaitTime from Test Configuration file : 30
 INFO | 2017-03-10 17:18:37,967 | Common.java | 73 | Element time out set
 INFO | 2017-03-10 17:18:37,967 | Common.java | 73 | ##### Start of Test Case : Search a hotel #####
 INFO | 2017-03-10 17:18:37,967 | Common.java | 73 | Test Case Name: TC_002
 INFO | 2017-03-10 17:18:37,968 | Common.java | 73 | Getting value of TestDataFile from Test Configuration file : .\src\test\resources\TestData.xls
 INFO | 2017-03-10 17:18:38,110 | Common.java | 73 | Test Data Set Name: TC_002
 INFO | 2017-03-10 17:18:38,110 | Common.java | 73 | Execution Flag: Execute
 INFO | 2017-03-10 17:18:38,111 | Common.java | 73 | Test Data Set Name: TC_002_01
